         73528744 function calls (68824215 primitive calls) in 208.417 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7317    0.030    0.000    0.036    0.000 _compression.py:59(close)
    22634    0.029    0.000   37.603    0.002 __init__.py:216(keep_connect)
    25792    0.029    0.000    0.040    0.000 util.py:43(isstr)
    14634    0.029    0.000    0.029    0.000 {built-in method _struct.unpack}
    98175    0.029    0.000    0.029    0.000 depth.py:132(<lambda>)
    46627    0.028    0.000    0.038    0.000 queues.py:53(_get)
    16150    0.028    0.000    0.097    0.000 common.py:439(validate_is_mapping)
    40648    0.028    0.000    0.028    0.000 {method 'read' of '_io.BytesIO' objects}
    59392    0.028    0.000    0.028    0.000 {method 'values' of 'dict' objects}
     7317    0.026    0.000    1.283    0.000 gzip.py:271(read)
     8646    0.026    0.000    0.041    0.000 __init__.py:1310(debug)
    96635    0.026    0.000    0.026    0.000 {built-in method builtins.issubclass}
 1061/213    0.026    0.000    0.072    0.000 sre_parse.py:475(_parse)
    11380    0.025    0.000    0.029    0.000 gzip.py:93(prepend)
      920    0.025    0.000    0.249    0.000 metaprogramming.py:45(method)
    11380    0.025    0.000    0.058    0.000 gzip.py:489(_add_read_data)
      920    0.024    0.000    0.207    0.000 __init__.py:59(run_on_executor)
      696    0.024    0.000    0.049    0.000 __init__.py:244(__init__)
     7317    0.023    0.000    0.107    0.000 gzip.py:302(close)
    12274    0.023    0.000    0.023    0.000 locks.py:262(set)
      514    0.023    0.000    0.186    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    677/1    0.023    0.000  208.846  208.846 {built-in method builtins.exec}
    14634    0.023    0.000    0.050    0.000 gzip.py:389(_read_exact)
    12895    0.022    0.000    0.099    0.000 arrow.py:415(naive)
     2775    0.022    0.000    0.031    0.000 metaprogramming.py:284(create_class_with_framework)
    16729    0.022    0.000    0.039    0.000 abc.py:137(__instancecheck__)
      921    0.021    0.000    0.040    0.000 database.py:58(__init__)
    14634    0.021    0.000    0.036    0.000 gzip.py:385(_init_read)
    98175    0.020    0.000    0.020    0.000 depth.py:141(<lambda>)
    29876    0.020    0.000    0.020    0.000 __init__.py:10(get_unique_indexes)
      920    0.020    0.000    0.020    0.000 {method 'put' of '_queue.SimpleQueue' objects}
     1683    0.020    0.000    0.020    0.000 depth.py:176(<listcomp>)
     1391    0.020    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     7317    0.020    0.000    0.024    0.000 gzip.py:74(__init__)
      469    0.019    0.000    0.021    0.000 {method 'strftime' of 'datetime.date' objects}
    12863    0.019    0.000    0.019    0.000 {method 'count' of 'str' objects}
    12863    0.019    0.000    0.075    0.000 re.py:215(findall)
      763    0.019    0.000    0.022    0.000 sre_compile.py:276(_optimize_charset)
      838    0.018    0.000    0.032    0.000 binance.py:110(_handle_kline)
    16150    0.018    0.000    0.018    0.000 mongo.py:46(<dictcomp>)
      943    0.018    0.000    0.021    0.000 threading.py:216(__init__)
      245    0.018    0.000    0.142    0.001 base.py:924(_process_jobs)
    12869    0.018    0.000    0.018    0.000 {method 'findall' of 're.Pattern' objects}
      672    0.017    0.000    0.017    0.000 {method 'send' of '_socket.socket' objects}
    16729    0.017    0.000    0.017    0.000 {built-in method _abc._abc_instancecheck}
    12862    0.016    0.000    0.016    0.000 locales.py:66(__init__)
     1683    0.016    0.000    0.123    0.000 depth.py:174(snapshot)
    22054    0.016    0.000    0.016    0.000 {method 'startswith' of 'bytes' objects}
      925    0.015    0.000    0.026    0.000 okex_spot.py:87(<listcomp>)
      114    0.015    0.000    0.015    0.000 {built-in method builtins.compile}
     9343    0.015    0.000    0.015    0.000 __init__.py:1568(isEnabledFor)
    12862    0.015    0.000    0.015    0.000 {method 'ljust' of 'str' objects}
    12898    0.015    0.000    0.015    0.000 _factories.py:9(__call__)
    51950    0.014    0.000    0.014    0.000 {method 'upper' of 'str' objects}
      410    0.014    0.000    0.053    0.000 __init__.py:161(get_next_fire_time)
     4782    0.014    0.000    0.014    0.000 trades.py:32(get_unique_indexes)
      193    0.014    0.000    0.877    0.005 bitfinex.py:219(_transport_depth_snapshots)
  4420/35    0.013    0.000    0.047    0.001 pyparsing.py:1347(_parseNoCache)
      903    0.013    0.000    0.025    0.000 okex_spot.py:104(<listcomp>)
      433    0.013    0.000    0.060    0.000 okex_future.py:142(_handle_trades)
     1843    0.012    0.000    0.017    0.000 common.py:641(__init__)
     9029    0.012    0.000    0.026    0.000 objectid.py:272(__repr__)
    20287    0.012    0.000    0.012    0.000 sre_parse.py:233(__next)
      920    0.012    0.000    0.069    0.000 thread.py:164(_adjust_thread_count)
 1727/195    0.011    0.000    0.037    0.000 sre_compile.py:71(_compile)
      511    0.011    0.000    0.327    0.001 <frozen importlib._bootstrap_external>:793(get_code)
     1051    0.011    0.000    1.172    0.001 bitflyer.py:54(_handle_trades)
        6    0.011    0.002    0.011    0.002 {method 'read' of '_io.TextIOWrapper' objects}
      921    0.011    0.000    0.080    0.000 core.py:211(__getitem__)
      637    0.010    0.000    0.019    0.000 huobi.py:112(<listcomp>)
      921    0.010    0.000    0.068    0.000 core.py:513(__init__)
     3280    0.010    0.000    0.024    0.000 expressions.py:32(get_next_value)
      130    0.010    0.000    0.156    0.001 bitfinex.py:182(_handle_kline)
       24    0.010    0.000    0.010    0.000 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    13807    0.010    0.000    0.010    0.000 {method 'strip' of 'str' objects}
      417    0.010    0.000    0.034    0.000 okex_spot.py:55(_handle_ticker)
      921    0.010    0.000    0.051    0.000 core.py:367(__init__)
      214    0.009    0.000    0.009    0.000 {built-in method posix.getcwd}
      920    0.009    0.000    0.016    0.000 _base.py:388(add_done_callback)
      664    0.009    0.000    0.056    0.000 huobi.py:93(_handle_kline)
    16152    0.009    0.000    0.011    0.000 common.py:141(validate_boolean)
      399    0.009    0.000    0.013    0.000 __init__.py:225(<listcomp>)
    65792    0.009    0.000    0.009    0.000 http_websocket.py:110(<genexpr>)
    16781    0.009    0.000    0.009    0.000 {method 'lower' of 'str' objects}
      925    0.009    0.000    0.066    0.000 okex_spot.py:85(_handle_trades)
      632    0.008    0.000    0.144    0.000 <frozen importlib._bootstrap>:882(_find_spec)
      903    0.008    0.000    0.069    0.000 okex_spot.py:102(_handle_kline)
     9029    0.008    0.000    0.014    0.000 objectid.py:267(__str__)
      433    0.008    0.000    0.015    0.000 okex_future.py:144(<listcomp>)
    21951    0.008    0.000    0.008    0.000 gzip.py:298(closed)
      632    0.008    0.000    0.040    0.000 huobi.py:77(_handle_ticker)
     7364    0.008    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      919    0.008    0.000    0.045    0.000 __init__.py:66(_set_state)
      413    0.007    0.000    0.013    0.000 okex_future.py:112(<listcomp>)
      696    0.007    0.000    0.465    0.001 __init__.py:971(emit)
      920    0.007    0.000    0.028    0.000 _base.py:312(__init__)
    643/9    0.007    0.000    1.111    0.123 <frozen importlib._bootstrap>:978(_find_and_load)
     1226    0.007    0.000    0.007    0.000 __init__.py:208(utcoffset)
    17377    0.007    0.000    0.017    0.000 sre_parse.py:254(get)
        1    0.007    0.007    0.016    0.016 http_websocket.py:110(<listcomp>)
      482    0.007    0.000    0.007    0.000 {method 'utctimetuple' of 'datetime.datetime' objects}
      696    0.007    0.000    0.056    0.000 __init__.py:322(getMessage)
      731    0.007    0.000    0.132    0.000 selector_events.py:122(_read_from_self)
      239    0.007    0.000    0.192    0.001 bitmex.py:104(<listcomp>)
     3699    0.006    0.000    0.010    0.000 threading.py:240(__enter__)
      637    0.006    0.000    0.053    0.000 huobi.py:109(_handle_trades)
      810    0.006    0.000    0.016    0.000 version.py:198(__init__)
     7317    0.006    0.000    0.008    0.000 _compression.py:12(_check_not_closed)
     7364    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      696    0.006    0.000    0.012    0.000 __init__.py:1400(findCaller)
    31841    0.006    0.000    0.006    0.000 depth.py:193(<lambda>)
      245    0.006    0.000    0.014    0.000 memory.py:23(get_due_jobs)
    11706    0.006    0.000    0.009    0.000 sre_parse.py:164(__getitem__)
     3298    0.006    0.000    0.030    0.000 fields.py:44(get_next_value)
     7317    0.006    0.000    0.006    0.000 {function DecompressReader.close at 0x110289598}
      696    0.006    0.000    0.477    0.001 __init__.py:1524(callHandlers)
    569/9    0.006    0.000    1.109    0.123 <frozen importlib._bootstrap>:663(_load_unlocked)
     1022    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      908    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      919    0.006    0.000    0.011    0.000 _base.py:367(cancelled)
      629    0.005    0.000    0.128    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
 2011/516    0.005    0.000    0.008    0.000 sre_parse.py:174(getwidth)
      193    0.005    0.000    0.133    0.001 bitfinex.py:223(<listcomp>)
      688    0.005    0.000    0.499    0.001 __init__.py:1322(info)
      920    0.005    0.000    0.007    0.000 metaprogramming.py:64(<listcomp>)
      284    0.005    0.000    0.051    0.000 bitflyer.py:75(_handle_depth)
      908    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap>:103(release)
2310/2248    0.005    0.000    0.007    0.000 pyparsing.py:349(__init__)
      399    0.005    0.000    0.034    0.000 http_websocket.py:551(_send_frame)
     1012    0.005    0.000    0.087    0.000 bitfinex.py:144(_handle_trades)
      956    0.005    0.000    0.015    0.000 __init__.py:413(_replace)
      395    0.005    0.000    0.005    0.000 encoder.py:204(iterencode)
      921    0.005    0.000    0.078    0.000 core.py:442(__getitem__)
    643/9    0.005    0.000    1.111    0.123 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      696    0.005    0.000    0.009    0.000 __init__.py:960(flush)
    22066    0.005    0.000    0.005    0.000 depth.py:183(<lambda>)
      443    0.005    0.000    0.005    0.000 calendar.py:113(weekday)
      555    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
    511/9    0.004    0.000    1.108    0.123 <frozen importlib._bootstrap_external>:722(exec_module)
      908    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:78(acquire)
     7692    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      257    0.004    0.000    0.009    0.000 base_events.py:379(create_task)
      868    0.004    0.000    0.005    0.000 genericpath.py:117(_splitext)
      434    0.004    0.000    0.042    0.000 job.py:289(__unicode__)
      515    0.004    0.000    0.005    0.000 {function UTC.fromutc at 0x110a2f6a8}
      515    0.004    0.000    0.012    0.000 {built-in method now}
      413    0.004    0.000    0.039    0.000 okex_future.py:109(_handle_kline)
     3091    0.004    0.000    0.067    0.000 bitflyer.py:72(<lambda>)
     5140    0.004    0.000    0.089    0.000 bitfinex.py:192(<lambda>)
      420    0.004    0.000    0.025    0.000 sslproto.py:657(_process_write_backlog)
      782    0.004    0.000    0.008    0.000 posixpath.py:144(basename)
      696    0.004    0.000    0.549    0.001 __init__.py:1445(_log)
   597/35    0.004    0.000    0.047    0.001 pyparsing.py:3356(parseImpl)
      696    0.004    0.000    0.004    0.000 __init__.py:383(format)
      956    0.004    0.000    0.010    0.000 __init__.py:403(_make)
     3501    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
       21    0.004    0.000    0.055    0.003 bitfinex.py:188(<listcomp>)
       21    0.004    0.000    0.056    0.003 threading.py:829(start)
  711/195    0.004    0.000    0.073    0.000 sre_parse.py:417(_parse_sub)
      696    0.004    0.000    0.070    0.000 __init__.py:556(format)
      235    0.004    0.000    0.018    0.000 base.py:55(submit_job)
     9029    0.004    0.000    0.004    0.000 {built-in method binascii.hexlify}
     4777    0.003    0.000    0.003    0.000 {built-in method builtins.min}
        8    0.003    0.000    0.003    0.000 {method 'readline' of '_io.BufferedReader' objects}
