         466104169 function calls (439067109 primitive calls) in 1497.898 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    62224    0.172    0.000    9.897    0.000 gzip.py:271(read)
   124448    0.172    0.000    0.287    0.000 gzip.py:385(_init_read)
   201300    0.170    0.000    0.170    0.000 operations.py:27(__init__)
   116372    0.167    0.000    0.255    0.000 threading.py:240(__enter__)
   124448    0.166    0.000    0.374    0.000 gzip.py:389(_read_exact)
   119593    0.165    0.000    0.654    0.000 re.py:180(search)
   411285    0.162    0.000    0.162    0.000 {method 'values' of 'dict' objects}
     2628    0.161    0.000    0.161    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      511    0.160    0.000    0.160    0.000 {method 'read' of '_io.FileIO' objects}
   119592    0.150    0.000    0.150    0.000 {method 'count' of 'str' objects}
   119619    0.149    0.000    0.149    0.000 _factories.py:9(__call__)
    92136    0.148    0.000    0.172    0.000 gzip.py:93(prepend)
    62224    0.147    0.000    0.774    0.000 gzip.py:302(close)
   664335    0.147    0.000    0.147    0.000 {built-in method builtins.issubclass}
    29087    0.145    0.000    0.265    0.000 _base.py:367(cancelled)
    17985    0.140    0.000    0.235    0.000 {built-in method _heapq.heapify}
    62224    0.137    0.000    0.159    0.000 gzip.py:74(__init__)
    29089    0.136    0.000    1.832    0.000 core.py:442(__getitem__)
    29089    0.136    0.000    0.192    0.000 metaprogramming.py:64(<listcomp>)
   119591    0.133    0.000    0.133    0.000 {method 'ljust' of 'str' objects}
   119591    0.131    0.000    0.131    0.000 locales.py:66(__init__)
     6502    0.128    0.000    0.229    0.000 binance.py:110(_handle_kline)
   119592    0.127    0.000    0.579    0.000 re.py:215(findall)
    73996    0.127    0.000    0.298    0.000 objectid.py:272(__repr__)
     4446    0.124    0.000    0.124    0.000 depth.py:186(<listcomp>)
   186743    0.122    0.000    0.122    0.000 {method 'startswith' of 'bytes' objects}
    29114    0.122    0.000    0.328    0.000 __init__.py:413(_replace)
   478855    0.120    0.000    0.120    0.000 {method 'upper' of 'str' objects}
   119598    0.112    0.000    0.112    0.000 {method 'findall' of 're.Pattern' objects}
    93354    0.111    0.000    0.111    0.000 __init__.py:1568(isEnabledFor)
    10234    0.111    0.000   10.478    0.001 bitflyer.py:54(_handle_trades)
     7812    0.108    0.000    0.209    0.000 huobi.py:112(<listcomp>)
   120472    0.105    0.000    0.105    0.000 {method 'strip' of 'str' objects}
    29089    0.105    0.000    0.199    0.000 thread.py:164(_adjust_thread_count)
    10374    0.102    0.000    1.360    0.000 depth.py:124(snapshot)
    29087    0.093    0.000    0.150    0.000 _base.py:405(result)
     2575    0.091    0.000    2.235    0.001 bitmex.py:104(<listcomp>)
   116372    0.090    0.000    0.133    0.000 threading.py:243(__exit__)
    90434    0.089    0.000    0.090    0.000 {built-in method _abc._abc_instancecheck}
    73996    0.089    0.000    0.171    0.000 objectid.py:267(__str__)
   116350    0.088    0.000    0.088    0.000 {method '__enter__' of '_thread.RLock' objects}
     7093    0.088    0.000    0.130    0.000 bitfinex.py:196(__gen_kline)
    29109    0.087    0.000    0.087    0.000 threading.py:75(RLock)
     7563    0.086    0.000    0.438    0.000 huobi.py:93(_handle_kline)
     7675    0.084    0.000    0.434    0.000 huobi.py:77(_handle_ticker)
    29089    0.081    0.000    0.112    0.000 core.py:471(get_io_loop)
    29089    0.079    0.000    0.079    0.000 database.py:42(_check_name)
    41/40    0.078    0.002    0.082    0.002 {built-in method _imp.create_dynamic}
      511    0.077    0.000    0.077    0.000 {built-in method marshal.loads}
    89590    0.076    0.000    0.357    0.000 common.py:439(validate_is_mapping)
    29114    0.074    0.000    0.206    0.000 __init__.py:403(_make)
   123440    0.073    0.000    0.073    0.000 {method 'lower' of 'str' objects}
    90434    0.072    0.000    0.162    0.000 abc.py:137(__instancecheck__)
    59833    0.070    0.000    0.070    0.000 {method 'endswith' of 'str' objects}
    29087    0.069    0.000    0.116    0.000 _base.py:436(exception)
    29089    0.068    0.000    0.180    0.000 core.py:858(get_io_loop)
   186672    0.066    0.000    0.066    0.000 gzip.py:298(closed)
     7812    0.066    0.000    0.609    0.000 huobi.py:109(_handle_trades)
    29089    0.066    0.000    0.078    0.000 metaprogramming.py:68(<dictcomp>)
    29089    0.065    0.000    0.065    0.000 thread.py:46(__init__)
       86    0.065    0.001    0.065    0.001 {method 'acquire' of '_thread.lock' objects}
   201300    0.063    0.000    0.063    0.000 __init__.py:10(get_unique_indexes)
    32408    0.058    0.000    0.699    0.000 bitflyer.py:72(<lambda>)
     5616    0.058    0.000    0.114    0.000 bitfinex.py:155(__gen_trade_trades)
    58179    0.058    0.000    0.058    0.000 core.py:72(__init__)
